plant_id,plant_lat,plant_lon,TZ,UTCOffset
60357,41.4711,-75.5436,America/New_York,-5
60368,40.839,-76.8255,America/New_York,-5
60376,41.1489,-80.8516,America/New_York,-5
60459,28.648,-96.5457,America/Chicago,-6
60460,29.8833,-95.1113,America/Chicago,-6
60464,40.1764,-79.6934,America/New_York,-5
60468,29.6464,-95.4518,America/Chicago,-6
60903,42.5256,-70.8784,America/New_York,-5
63628,35.4147,-97.3734,America/Chicago,-6
70454,34.3387,-82.8207,America/New_York,-5
880004,38.8856,-77.0244,America/New_York,-5
880006,39.949,-75.1557,America/New_York,-5
880007,40.0067,-75.0686,America/New_York,-5
880016,40.6333,-74.2028,America/New_York,-5
880023,42.35,-71.0583,America/New_York,-5
880024,42.8158,-73.6728,America/New_York,-5
880025,39.8228,-75.4033,America/New_York,-5
880028,39.1756,-84.5022,America/New_York,-5
880029,42.165,-83.091,America/Toronto,-5
880030,41.6786,-83.4539,America/New_York,-5
880031,43.6025,-84.2404,America/Detroit,-5
880033,39.1792,-84.5053,America/New_York,-5
880038,38.375,-82.6042,America/New_York,-5
880039,39.8242,-84.1747,America/New_York,-5
880041,34.6339,-87.0244,America/Chicago,-6
880042,39.4968,-84.3901,America/New_York,-5
880043,42.1631,-73.9003,America/New_York,-5
880044,42.4833,-73.8167,America/New_York,-5
880045,42.2808,-83.7342,America/Detroit,-5
880049,40.4092,-76.1511,America/New_York,-5
880050,40.3439,-77.1628,America/New_York,-5
880052,43.3064,-73.6208,America/New_York,-5
880053,38.3845,-81.7764,America/New_York,-5
880055,35.9822,-84.2614,America/New_York,-5
880057,34.2337,-80.658,America/New_York,-5
880065,36.9461,-89.0792,America/Chicago,-6
880067,38.8375,-90.0675,America/Chicago,-6
880071,40.4319,-79.085,America/New_York,-5
880072,40.3086,-78.1389,America/New_York,-5
880074,34.605,-79.785,America/New_York,-5
880075,34.64,-87.0583,America/Chicago,-6
880076,41.6439,-88.0467,America/Chicago,-6
880078,34.387,-80.0663,America/New_York,-5
880079,35.7433,-84.3208,America/New_York,-5
880083,40.7234,-84.1133,America/New_York,-5
880086,40.555,-89.6628,America/Chicago,-6
880087,41.6552,-86.2962,America/Indiana/Indianapolis,-5
880088,39.0,-87.7222,America/Chicago,-6
880089,41.4417,-88.1728,America/Chicago,-6
880092,32.9701,-79.8905,America/New_York,-5
880093,37.1815,-77.1621,America/New_York,-5
880096,41.6914,-87.5475,America/Chicago,-6
880100,40.76,-73.75,America/New_York,-5
880101,34.838,-85.7865,America/Chicago,-6
880102,17.9477,-66.154,America/Puerto_Rico,-4
880107,39.8076,-75.4239,America/New_York,-5
880108,38.6552,-87.1814,America/Indiana/Vincennes,-5
